step,elapsed_min,penalty_weight,train_acc,avg_loss,current_acc,current_pred_ones,ema_acc,ema_pred_ones,selected_acc,selected_pred_ones,selected_tag,is_best,best_acc,best_step,best_tag,total
25,5.496781090895335,0.2819548872180451,0.5168269230769231,4.460153445601463,0.5347677992855363,13653,0.5378416548973997,12035,0.5378416548973997,12035,ema,True,0.5378416548973997,25,ema,24074
50,10.973479410012564,0.5639097744360902,0.5475,7.185758298635482,0.5262939270582371,4379,0.5373016532358561,11326,0.5373016532358561,11326,ema,False,0.5378416548973997,25,ema,24074
75,16.46329020659129,0.8458646616541353,0.5925,7.269961550235748,0.5468139901968929,13339,0.5509678491318435,12031,0.5509678491318435,12031,ema,True,0.5509678491318435,75,ema,24074
100,21.945799338817597,1.1278195488721805,0.55,13.023439693450928,0.5478109163412811,16161,0.551507850793387,14554,0.551507850793387,14554,ema,True,0.551507850793387,100,ema,24074
125,27.43187522093455,1.4097744360902256,0.56,15.715168965160847,0.5288693195979065,7957,0.544363213425272,11344,0.544363213425272,11344,ema,False,0.551507850793387,100,ema,24074
150,32.91899152199427,1.6917293233082706,0.5275,20.867630073204637,0.5358478026086234,15159,0.5428678242086898,12160,0.5428678242086898,12160,ema,False,0.551507850793387,100,ema,24074
175,38.40447104374568,1.9736842105263157,0.595,24.40936629086733,0.5228046855528786,14783,0.5371354988784581,13232,0.5371354988784581,13232,ema,False,0.551507850793387,100,ema,24074
200,43.889326496919,2.255639097744361,0.66,15.364352977573871,0.5212262191575974,11851,0.5313200963695273,13344,0.5313200963695273,13344,ema,False,0.551507850793387,100,ema,24074
225,49.3743151585261,2.537593984962406,0.5375,15.067692497968673,0.5322339453352164,12278,0.5309462490653818,13271,0.5322339453352164,12278,current,False,0.551507850793387,100,ema,24074
250,54.86092139085134,2.819548872180451,0.525,31.668456265926363,0.5243831519481599,10249,0.5289523967766054,12007,0.5289523967766054,12007,ema,False,0.551507850793387,100,ema,24074
275,60.3488121509552,3.0,0.58,16.29608115196228,0.5291185511340035,17193,0.5289523967766054,13165,0.5291185511340035,17193,current,False,0.551507850793387,100,ema,24074
300,65.83379865884781,3.0,0.5975,29.042927560806273,0.5278308548641688,17464,0.5311539420121293,15062,0.5311539420121293,15062,ema,False,0.551507850793387,100,ema,24074
325,71.33211514552434,3.0,0.595,21.052302503585814,0.5297416299742461,17872,0.5304062474038381,16208,0.5304062474038381,16208,ema,False,0.551507850793387,100,ema,24074
350,76.82633622090022,3.0,0.6,29.544804410934447,0.5303647088144886,16991,0.5289523967766054,16671,0.5303647088144886,16991,current,False,0.551507850793387,100,ema,24074
375,82.31958690881729,3.0,0.6,29.730044827461242,0.5299493229209936,17119,0.5297000913848966,16821,0.5299493229209936,17119,current,False,0.551507850793387,100,ema,24074
